Song,Date,Number of Plays
second,2022-09-27,1819
second,2022-09-23,1831
third,2022-09-26,1631
second,2022-09-23,1867
second,2022-09-20,46
last,2022-09-20,78
second,2022-09-27,1128
second,2022-09-23,913
first,2022-09-26,1612
last,2022-09-24,839
third,2022-09-21,347
forth,2022-09-27,557
third,2022-09-24,1933
second,2022-09-26,1283
second,2022-09-20,704
forth,2022-09-24,1103
last,2022-09-27,636
last,2022-09-24,185
forth,2022-09-27,1727
second,2022-09-24,1226
second,2022-09-22,68
second,2022-09-27,1826
third,2022-09-18,1150
third,2022-09-20,507
last,2022-09-25,403
forth,2022-09-26,1297
first,2022-09-27,1799
forth,2022-09-27,1609
last,2022-09-18,1102
last,2022-09-22,1617
first,2022-09-25,732
last,2022-09-26,1390
third,2022-09-22,1594
last,2022-09-19,812
second,2022-09-25,1803
last,2022-09-23,1698
second,2022-09-24,998
last,2022-09-22,1415
last,2022-09-18,276
first,2022-09-20,358
first,2022-09-22,1481
second,2022-09-27,266
first,2022-09-20,745
second,2022-09-21,702
forth,2022-09-21,1902
first,2022-09-27,1574
forth,2022-09-27,1695
forth,2022-09-24,663
third,2022-09-24,386
third,2022-09-24,1015
last,2022-09-23,11
last,2022-09-21,1899
third,2022-09-18,239
second,2022-09-19,1883
first,2022-09-18,1755
first,2022-09-25,968
third,2022-09-22,309
third,2022-09-19,1385
third,2022-09-20,1898
last,2022-09-27,1042
first,2022-09-23,581
first,2022-09-23,1947
forth,2022-09-19,1244
forth,2022-09-19,1913
third,2022-09-24,1478
last,2022-09-19,1534
forth,2022-09-22,233
third,2022-09-20,1088
last,2022-09-25,1988
second,2022-09-22,1194
second,2022-09-22,1448
forth,2022-09-18,617
first,2022-09-22,1691
third,2022-09-18,1771
last,2022-09-27,1962
forth,2022-09-22,46
second,2022-09-27,1872
second,2022-09-22,1853
last,2022-09-27,1439
last,2022-09-21,1029
forth,2022-09-21,1189
forth,2022-09-19,1616
last,2022-09-21,1046
first,2022-09-18,708
second,2022-09-18,471
third,2022-09-26,49
second,2022-09-21,1050
first,2022-09-26,110
third,2022-09-23,1725
last,2022-09-20,708
last,2022-09-20,1187
third,2022-09-21,1445
forth,2022-09-25,1649
last,2022-09-26,1342
third,2022-09-21,936
second,2022-09-18,291
last,2022-09-21,862
last,2022-09-23,1779
last,2022-09-21,864
second,2022-09-24,530
first,2022-09-25,1704
third,2022-09-24,1828
forth,2022-09-27,703
first,2022-09-19,311
first,2022-09-27,1721
last,2022-09-26,200
second,2022-09-23,1404
second,2022-09-25,996
first,2022-09-26,359
second,2022-09-25,1721
forth,2022-09-18,1840
first,2022-09-27,1606
last,2022-09-19,534
third,2022-09-27,632
third,2022-09-22,533
third,2022-09-21,798
second,2022-09-23,174
first,2022-09-27,553
forth,2022-09-22,192
second,2022-09-27,498
second,2022-09-18,1036
third,2022-09-20,952
last,2022-09-19,131
forth,2022-09-19,1569
second,2022-09-21,1911
last,2022-09-25,197
first,2022-09-18,1709
third,2022-09-21,1681
forth,2022-09-24,1206
forth,2022-09-18,823
second,2022-09-25,462
first,2022-09-21,344
third,2022-09-26,642
first,2022-09-25,1428
last,2022-09-21,1189
first,2022-09-25,699
first,2022-09-19,1486
third,2022-09-20,1464
first,2022-09-25,255
last,2022-09-25,1479
second,2022-09-26,975
first,2022-09-22,1351
last,2022-09-27,1108
last,2022-09-26,1283
second,2022-09-19,1346
first,2022-09-22,1879
forth,2022-09-24,347
second,2022-09-22,880
second,2022-09-19,1002
third,2022-09-26,1724
first,2022-09-27,1368
last,2022-09-19,609
forth,2022-09-19,35
last,2022-09-19,915
first,2022-09-27,1131
second,2022-09-18,914
last,2022-09-19,1323
last,2022-09-24,238
forth,2022-09-20,1635
first,2022-09-21,1236
second,2022-09-26,395
third,2022-09-18,223
forth,2022-09-27,933
second,2022-09-22,629
last,2022-09-27,1225
third,2022-09-26,346
forth,2022-09-21,909
last,2022-09-20,959
last,2022-09-23,1827
forth,2022-09-19,535
forth,2022-09-26,1099
last,2022-09-19,892
forth,2022-09-25,1892
forth,2022-09-27,1259
forth,2022-09-25,798
first,2022-09-21,431
first,2022-09-19,572
last,2022-09-19,709
forth,2022-09-23,1077
second,2022-09-18,782
last,2022-09-21,354
third,2022-09-22,875
last,2022-09-24,49
third,2022-09-22,1072
first,2022-09-20,1160
third,2022-09-27,1948
last,2022-09-27,1783
second,2022-09-20,1070
third,2022-09-20,1844
forth,2022-09-24,1440
first,2022-09-19,1727
forth,2022-09-24,1209
last,2022-09-20,1073
last,2022-09-24,1924
second,2022-09-24,611
second,2022-09-21,1782
forth,2022-09-21,670
forth,2022-09-27,1874
third,2022-09-24,1433
second,2022-09-19,61
last,2022-09-21,95
third,2022-09-25,1665
last,2022-09-22,689
forth,2022-09-24,754
first,2022-09-18,6
forth,2022-09-19,0
second,2022-09-24,1102
second,2022-09-25,203
first,2022-09-23,1795
second,2022-09-21,597
third,2022-09-20,147
third,2022-09-19,266
forth,2022-09-22,976
last,2022-09-22,630
third,2022-09-27,1650
first,2022-09-19,421
first,2022-09-18,65
first,2022-09-22,1152
first,2022-09-24,1315
third,2022-09-26,1467
third,2022-09-19,757
forth,2022-09-26,1857
second,2022-09-27,24
first,2022-09-23,1671
second,2022-09-25,27
last,2022-09-22,1041
forth,2022-09-19,1906
first,2022-09-18,785
forth,2022-09-19,940
forth,2022-09-27,659
forth,2022-09-19,1501
second,2022-09-18,345
second,2022-09-26,1995
last,2022-09-24,1877
last,2022-09-22,1687
third,2022-09-20,216
second,2022-09-22,970
first,2022-09-23,1653
third,2022-09-26,815
third,2022-09-27,883
third,2022-09-27,495
third,2022-09-25,1534
third,2022-09-18,1565
second,2022-09-22,274
forth,2022-09-26,1104
first,2022-09-21,432
forth,2022-09-23,946
first,2022-09-26,1085
forth,2022-09-27,1105
second,2022-09-23,1000
second,2022-09-23,760
second,2022-09-20,868
last,2022-09-22,587
last,2022-09-26,1453
second,2022-09-20,715
first,2022-09-19,1028
last,2022-09-18,50
first,2022-09-18,746
third,2022-09-21,1676
first,2022-09-23,497
second,2022-09-24,1072
last,2022-09-22,1027
third,2022-09-19,159
last,2022-09-21,1306
second,2022-09-23,612
forth,2022-09-22,946
first,2022-09-19,1228
second,2022-09-24,1415
first,2022-09-18,580
first,2022-09-22,291
second,2022-09-22,65
second,2022-09-24,800
third,2022-09-21,1296
last,2022-09-18,585
third,2022-09-27,223
third,2022-09-25,1093
last,2022-09-22,94
second,2022-09-21,718
first,2022-09-22,545
third,2022-09-20,1120
third,2022-09-26,714
first,2022-09-22,638
last,2022-09-19,122
forth,2022-09-26,141
second,2022-09-23,680
forth,2022-09-23,813
third,2022-09-27,569
last,2022-09-19,838
second,2022-09-20,552
third,2022-09-18,1557
third,2022-09-18,458
third,2022-09-21,447
second,2022-09-18,753
last,2022-09-18,1824
second,2022-09-27,720
forth,2022-09-23,1544
first,2022-09-20,347
third,2022-09-27,1196
forth,2022-09-27,783
third,2022-09-23,75
third,2022-09-25,1624
third,2022-09-20,14
second,2022-09-21,403
forth,2022-09-21,1460
forth,2022-09-19,1267
third,2022-09-23,644
first,2022-09-22,1548
second,2022-09-26,1437
second,2022-09-23,730
first,2022-09-27,1744
third,2022-09-22,1121
third,2022-09-25,1899
first,2022-09-27,1926
first,2022-09-18,869
first,2022-09-21,1164
forth,2022-09-18,1426
last,2022-09-27,473
last,2022-09-21,838
second,2022-09-27,1186
first,2022-09-24,1863
second,2022-09-26,1247
first,2022-09-25,646
last,2022-09-24,232
last,2022-09-27,609
first,2022-09-18,776
forth,2022-09-21,175
first,2022-09-26,1017
second,2022-09-27,884
first,2022-09-21,53
forth,2022-09-27,144
forth,2022-09-27,1251
third,2022-09-21,1919
second,2022-09-19,1058
second,2022-09-20,320
first,2022-09-26,431
third,2022-09-24,1114
last,2022-09-22,1232
second,2022-09-25,847
forth,2022-09-20,249
last,2022-09-26,1618
first,2022-09-26,1839
forth,2022-09-27,655
third,2022-09-24,1343
first,2022-09-21,1067
third,2022-09-24,92
forth,2022-09-27,1670
last,2022-09-21,271
first,2022-09-19,449
second,2022-09-26,813
third,2022-09-27,1204
second,2022-09-27,333
first,2022-09-25,59
second,2022-09-26,935
last,2022-09-20,800
last,2022-09-26,1167
forth,2022-09-24,1054
second,2022-09-26,1551
forth,2022-09-23,607
first,2022-09-22,1257
first,2022-09-24,983
last,2022-09-25,995
first,2022-09-21,386
forth,2022-09-21,1433
second,2022-09-18,274
second,2022-09-27,770
third,2022-09-21,961
first,2022-09-26,1224
last,2022-09-27,1360
second,2022-09-20,692
forth,2022-09-22,1035
forth,2022-09-18,974
last,2022-09-19,1106
second,2022-09-26,1529
third,2022-09-23,54
second,2022-09-24,1028
third,2022-09-22,249
forth,2022-09-19,1434
forth,2022-09-21,366
first,2022-09-26,1775
forth,2022-09-22,1914
forth,2022-09-19,1227
first,2022-09-25,1260
forth,2022-09-21,253
second,2022-09-21,468
last,2022-09-24,955
forth,2022-09-19,1456
second,2022-09-25,1622
last,2022-09-25,1482
last,2022-09-25,5
forth,2022-09-20,1390
second,2022-09-18,668
third,2022-09-23,913
last,2022-09-24,1631
last,2022-09-26,1832
first,2022-09-21,1915
second,2022-09-25,536
third,2022-09-27,872
second,2022-09-27,387
forth,2022-09-19,461
forth,2022-09-20,1969
first,2022-09-27,1100
forth,2022-09-24,1207
third,2022-09-18,1604
last,2022-09-26,1668
first,2022-09-26,1983
second,2022-09-24,666
third,2022-09-20,1856
forth,2022-09-27,739
third,2022-09-21,1393
forth,2022-09-21,1109
first,2022-09-21,170
first,2022-09-26,1705
second,2022-09-26,949
first,2022-09-25,1665
last,2022-09-24,1597
last,2022-09-23,1355
forth,2022-09-18,705
third,2022-09-25,604
third,2022-09-18,919
third,2022-09-27,32
second,2022-09-22,612
forth,2022-09-22,673
second,2022-09-20,1575
second,2022-09-25,1585
second,2022-09-20,1317
third,2022-09-18,1737
last,2022-09-19,1661
second,2022-09-21,1925
last,2022-09-20,1473
forth,2022-09-27,1446
forth,2022-09-24,288
third,2022-09-19,1236
second,2022-09-24,1401
third,2022-09-26,941
second,2022-09-23,376
second,2022-09-25,229
second,2022-09-25,665
last,2022-09-25,852
first,2022-09-20,1986
third,2022-09-19,1541
third,2022-09-18,840
first,2022-09-27,1079
second,2022-09-25,605
forth,2022-09-26,1522
first,2022-09-26,1392
first,2022-09-23,1781
last,2022-09-22,1812
last,2022-09-27,1706
forth,2022-09-26,206
last,2022-09-26,1037
second,2022-09-23,366
forth,2022-09-23,1447
last,2022-09-18,1474
first,2022-09-21,1454
last,2022-09-19,1571
second,2022-09-18,1487
first,2022-09-27,1541
forth,2022-09-18,858
forth,2022-09-25,118
forth,2022-09-27,1811
forth,2022-09-26,828
first,2022-09-20,1860
first,2022-09-25,1377
third,2022-09-19,1576
forth,2022-09-23,1969
second,2022-09-22,715
last,2022-09-21,829
last,2022-09-19,1530
forth,2022-09-22,320
second,2022-09-26,81
first,2022-09-23,1838
second,2022-09-24,178
second,2022-09-22,100
forth,2022-09-25,1543
second,2022-09-23,999
forth,2022-09-18,1007
last,2022-09-24,239
second,2022-09-21,224
second,2022-09-18,1388
last,2022-09-21,107
third,2022-09-25,1330
forth,2022-09-24,1709
third,2022-09-20,1413
first,2022-09-27,358
forth,2022-09-20,1260
first,2022-09-23,648
third,2022-09-19,601
last,2022-09-26,394
forth,2022-09-21,1564
forth,2022-09-20,248
last,2022-09-19,369
forth,2022-09-23,1949
third,2022-09-21,865
last,2022-09-20,1958
third,2022-09-21,1667
first,2022-09-26,481
third,2022-09-18,831
last,2022-09-27,1871
forth,2022-09-23,1132
forth,2022-09-24,930
forth,2022-09-27,1364
third,2022-09-20,1817
last,2022-09-25,957
first,2022-09-18,1332
forth,2022-09-23,1782
third,2022-09-21,887
second,2022-09-25,1118
third,2022-09-23,1511
forth,2022-09-26,1627
second,2022-09-21,1287
first,2022-09-21,1134
second,2022-09-26,830
forth,2022-09-24,1510
last,2022-09-22,1665
third,2022-09-18,78
forth,2022-09-24,564
second,2022-09-20,1004
second,2022-09-22,134
first,2022-09-20,1399
second,2022-09-18,1079
forth,2022-09-18,1205
second,2022-09-21,815
third,2022-09-20,420
third,2022-09-22,913
second,2022-09-20,1018
second,2022-09-27,1160
first,2022-09-18,1626
first,2022-09-19,1136
third,2022-09-25,1997
forth,2022-09-27,288
second,2022-09-23,220
forth,2022-09-20,756
third,2022-09-22,1614
forth,2022-09-23,717
last,2022-09-19,530
third,2022-09-26,1610
first,2022-09-22,1229
last,2022-09-22,1756
second,2022-09-22,1630
last,2022-09-19,1154
last,2022-09-27,972
first,2022-09-19,1109
first,2022-09-19,1799
forth,2022-09-26,1709
second,2022-09-24,863
forth,2022-09-22,1511
forth,2022-09-18,927
first,2022-09-26,531
last,2022-09-23,590
last,2022-09-21,277
first,2022-09-27,1286
second,2022-09-25,153
second,2022-09-25,951
second,2022-09-19,1473
second,2022-09-21,920
last,2022-09-26,1656
second,2022-09-22,793
last,2022-09-22,101
last,2022-09-23,340
second,2022-09-27,1276
first,2022-09-25,388
second,2022-09-24,1432
last,2022-09-23,6
forth,2022-09-20,10
forth,2022-09-18,1439
third,2022-09-18,510
forth,2022-09-23,397
second,2022-09-23,790
third,2022-09-21,1560
second,2022-09-24,1838
first,2022-09-21,1962
first,2022-09-20,1050
last,2022-09-19,979
last,2022-09-21,1030
last,2022-09-21,1261
second,2022-09-25,1724
first,2022-09-25,728
second,2022-09-24,92
second,2022-09-21,62
second,2022-09-21,220
second,2022-09-23,1598
third,2022-09-24,485
third,2022-09-24,1929
third,2022-09-26,1992
first,2022-09-26,34
forth,2022-09-20,539
first,2022-09-24,1475
first,2022-09-25,1048
forth,2022-09-19,1334
second,2022-09-18,1683
last,2022-09-18,677
last,2022-09-19,154
last,2022-09-21,1118
forth,2022-09-25,398
forth,2022-09-18,1548
last,2022-09-22,1174
last,2022-09-20,1844
last,2022-09-25,1173
first,2022-09-20,339
second,2022-09-20,1839
last,2022-09-25,1533
second,2022-09-20,1708
forth,2022-09-25,1938
forth,2022-09-24,1148
first,2022-09-24,951
third,2022-09-20,205
last,2022-09-22,202
forth,2022-09-25,264
third,2022-09-22,633
third,2022-09-22,886
first,2022-09-27,861
third,2022-09-27,1034
second,2022-09-19,471
third,2022-09-25,492
second,2022-09-18,1056
forth,2022-09-24,1492
forth,2022-09-22,378
last,2022-09-19,197
third,2022-09-18,779
second,2022-09-20,1302
forth,2022-09-24,308
first,2022-09-24,344
third,2022-09-18,1966
second,2022-09-20,904
second,2022-09-21,1374
second,2022-09-19,1018
third,2022-09-26,1844
third,2022-09-19,42
last,2022-09-22,287
second,2022-09-18,581
third,2022-09-18,1162
first,2022-09-18,771
first,2022-09-23,880
first,2022-09-22,509
second,2022-09-21,1685
last,2022-09-26,1896
first,2022-09-27,1724
third,2022-09-23,1790
first,2022-09-18,1649
forth,2022-09-27,1089
forth,2022-09-21,1662
third,2022-09-25,287
second,2022-09-18,492
first,2022-09-24,1442
forth,2022-09-25,1569
third,2022-09-21,157
first,2022-09-26,893
last,2022-09-21,1572
third,2022-09-22,254
forth,2022-09-27,461
forth,2022-09-24,58
second,2022-09-26,1188
third,2022-09-22,338
first,2022-09-26,1839
third,2022-09-20,287
first,2022-09-23,450
second,2022-09-25,78
third,2022-09-22,1861
third,2022-09-25,936
first,2022-09-25,1118
forth,2022-09-23,1082
second,2022-09-20,1084
third,2022-09-18,1390
third,2022-09-25,1643
second,2022-09-22,1894
first,2022-09-23,981
first,2022-09-20,1858
third,2022-09-22,1711
last,2022-09-18,564
forth,2022-09-21,476
third,2022-09-18,1300
forth,2022-09-27,1642
second,2022-09-19,560
last,2022-09-18,598
third,2022-09-27,1379
third,2022-09-27,1679
forth,2022-09-26,1372
last,2022-09-20,698
last,2022-09-18,78
third,2022-09-25,751
second,2022-09-23,1062
last,2022-09-27,1128
first,2022-09-25,1106
forth,2022-09-26,848
forth,2022-09-26,1448
third,2022-09-20,872
first,2022-09-19,1673
third,2022-09-24,667
forth,2022-09-23,428
forth,2022-09-27,842
second,2022-09-23,1730
third,2022-09-27,867
second,2022-09-27,845
forth,2022-09-23,1325
second,2022-09-19,351
second,2022-09-19,1801
last,2022-09-19,1073
third,2022-09-22,1930
third,2022-09-24,269
forth,2022-09-20,931
first,2022-09-18,1576
third,2022-09-25,1237
first,2022-09-21,176
last,2022-09-24,1408
forth,2022-09-27,1494
forth,2022-09-21,529
last,2022-09-26,1927
forth,2022-09-22,145
third,2022-09-25,1972
forth,2022-09-27,68
forth,2022-09-27,901
last,2022-09-20,1681
second,2022-09-20,586
third,2022-09-27,1017
forth,2022-09-27,1509
first,2022-09-26,310
third,2022-09-21,763
last,2022-09-27,1216
second,2022-09-24,1361
first,2022-09-21,943
last,2022-09-23,371
first,2022-09-18,1404
first,2022-09-20,528
last,2022-09-19,1510
third,2022-09-23,1718
second,2022-09-25,1751
forth,2022-09-20,408
last,2022-09-21,399
last,2022-09-18,1677
second,2022-09-21,894
first,2022-09-22,653
third,2022-09-26,850
first,2022-09-18,1857
second,2022-09-26,12
third,2022-09-27,1049
second,2022-09-27,110
forth,2022-09-26,1482
third,2022-09-27,92
third,2022-09-26,24
last,2022-09-18,1152
third,2022-09-24,344
first,2022-09-19,1343
last,2022-09-20,377
second,2022-09-23,1122
second,2022-09-22,19
last,2022-09-27,1858
third,2022-09-26,1431
second,2022-09-18,1210
forth,2022-09-27,1442
third,2022-09-26,725
last,2022-09-25,360
last,2022-09-20,834
third,2022-09-25,675
forth,2022-09-26,1106
forth,2022-09-23,1369
first,2022-09-19,1906
last,2022-09-26,1529
last,2022-09-25,1590
first,2022-09-19,139
last,2022-09-18,1027
third,2022-09-19,856
first,2022-09-27,1852
first,2022-09-22,827
last,2022-09-22,1120
last,2022-09-21,1032
forth,2022-09-18,1970
last,2022-09-27,1135
last,2022-09-21,814
second,2022-09-18,360
last,2022-09-24,832
forth,2022-09-20,1060
forth,2022-09-24,638
third,2022-09-23,1605
forth,2022-09-23,1979
first,2022-09-20,497
second,2022-09-25,1429
second,2022-09-26,1154
third,2022-09-22,1423
first,2022-09-27,1450
forth,2022-09-26,303
third,2022-09-18,1199
second,2022-09-21,28
forth,2022-09-18,1098
first,2022-09-22,146
first,2022-09-18,1326
first,2022-09-25,576
last,2022-09-18,482
forth,2022-09-26,745
third,2022-09-19,1361
last,2022-09-26,1685
second,2022-09-22,605
first,2022-09-20,846
third,2022-09-21,420
last,2022-09-22,436
forth,2022-09-26,1009
first,2022-09-25,1781
third,2022-09-24,268
third,2022-09-21,603
forth,2022-09-24,202
second,2022-09-25,1756
third,2022-09-19,1921
first,2022-09-24,877
second,2022-09-20,1145
last,2022-09-18,77
second,2022-09-21,345
third,2022-09-26,1675
second,2022-09-23,999
first,2022-09-18,1032
last,2022-09-23,1510
second,2022-09-26,1738
third,2022-09-21,737
second,2022-09-23,1440
second,2022-09-19,647
third,2022-09-24,221
last,2022-09-19,394
forth,2022-09-22,552
last,2022-09-26,477
second,2022-09-24,1456
forth,2022-09-27,1298
third,2022-09-27,931
first,2022-09-20,832
first,2022-09-18,439
last,2022-09-18,985
last,2022-09-24,21
third,2022-09-23,741
second,2022-09-25,75
last,2022-09-21,546
first,2022-09-19,672
first,2022-09-20,170
third,2022-09-18,265
forth,2022-09-25,827
first,2022-09-24,819
last,2022-09-25,1374
third,2022-09-22,148
first,2022-09-18,1538
third,2022-09-18,1938
forth,2022-09-25,1250
forth,2022-09-24,269
forth,2022-09-19,447
third,2022-09-27,1544
third,2022-09-25,567
last,2022-09-19,751
second,2022-09-22,1566
first,2022-09-18,719
forth,2022-09-22,785
third,2022-09-24,1965
forth,2022-09-27,1407
second,2022-09-18,1162
third,2022-09-26,1497
third,2022-09-27,1251
first,2022-09-20,116
forth,2022-09-18,981
last,2022-09-18,1716
first,2022-09-20,619
first,2022-09-21,1084
first,2022-09-25,1080
second,2022-09-18,1821
second,2022-09-26,1166
last,2022-09-22,800
third,2022-09-27,1092
last,2022-09-20,1310
first,2022-09-23,1292
second,2022-09-23,358
third,2022-09-18,194
second,2022-09-25,977
forth,2022-09-20,812
last,2022-09-19,729
last,2022-09-18,1967
third,2022-09-19,1183
last,2022-09-20,515
second,2022-09-19,497
last,2022-09-25,527
third,2022-09-26,1921
third,2022-09-27,767
second,2022-09-26,1490
last,2022-09-21,485
second,2022-09-18,414
last,2022-09-26,1933
second,2022-09-24,1976
second,2022-09-22,130
last,2022-09-19,939
forth,2022-09-22,524
first,2022-09-27,1401
forth,2022-09-20,361
third,2022-09-18,438
last,2022-09-18,705
second,2022-09-24,1691
forth,2022-09-21,1645
first,2022-09-21,1429
first,2022-09-21,970
first,2022-09-21,1902
second,2022-09-22,1633
forth,2022-09-26,1930
first,2022-09-24,1432
second,2022-09-21,140
third,2022-09-25,1929
last,2022-09-19,1916
third,2022-09-24,120
third,2022-09-27,1880
second,2022-09-25,617
forth,2022-09-24,905
last,2022-09-20,363
last,2022-09-20,1870
second,2022-09-18,1686
first,2022-09-20,354
second,2022-09-18,859
first,2022-09-18,52
forth,2022-09-20,1149
first,2022-09-24,407
forth,2022-09-27,377
first,2022-09-25,1808
last,2022-09-22,1814
second,2022-09-27,797
forth,2022-09-18,489
third,2022-09-23,1186
first,2022-09-19,1786
forth,2022-09-24,841
forth,2022-09-21,1429
third,2022-09-25,475
forth,2022-09-20,1847
first,2022-09-27,18
forth,2022-09-24,836
last,2022-09-25,21
second,2022-09-26,1644
first,2022-09-23,367
third,2022-09-25,1059
second,2022-09-23,861
forth,2022-09-23,1095
first,2022-09-24,1633
second,2022-09-26,1053
third,2022-09-23,666
last,2022-09-23,1869
second,2022-09-24,1611
last,2022-09-24,795
second,2022-09-23,1772
first,2022-09-24,1830
first,2022-09-20,1931
second,2022-09-27,1780
forth,2022-09-24,780
forth,2022-09-26,505
first,2022-09-21,247
first,2022-09-19,1642
forth,2022-09-24,745
second,2022-09-24,300
forth,2022-09-23,1821
first,2022-09-22,290
last,2022-09-27,1116
first,2022-09-24,896
forth,2022-09-27,5
third,2022-09-27,1534
forth,2022-09-25,917
forth,2022-09-24,1007
third,2022-09-26,1201
last,2022-09-19,1991
first,2022-09-27,930
first,2022-09-22,1085
second,2022-09-27,1878
first,2022-09-20,1615
forth,2022-09-20,800
forth,2022-09-25,721
second,2022-09-27,1454
third,2022-09-18,1898
last,2022-09-23,1449
last,2022-09-22,1115
first,2022-09-26,97
third,2022-09-23,1501
third,2022-09-27,1904
last,2022-09-22,1280
first,2022-09-23,603
third,2022-09-26,181
forth,2022-09-24,166
second,2022-09-25,769
second,2022-09-25,1337
second,2022-09-25,669
first,2022-09-24,1999
first,2022-09-23,147
third,2022-09-21,1813
forth,2022-09-25,1935
first,2022-09-25,1947
first,2022-09-25,470
second,2022-09-23,1669
last,2022-09-24,1316
last,2022-09-25,1902
forth,2022-09-25,70
forth,2022-09-19,704
last,2022-09-25,568
last,2022-09-20,1732
second,2022-09-19,1991
third,2022-09-19,348
third,2022-09-26,1235
first,2022-09-26,1462
last,2022-09-18,691
third,2022-09-20,1806
third,2022-09-26,1399
first,2022-09-23,45
last,2022-09-19,1208
second,2022-09-22,966
last,2022-09-24,352
first,2022-09-22,826
last,2022-09-23,933
forth,2022-09-23,1399
forth,2022-09-25,254
third,2022-09-21,217
first,2022-09-22,396
forth,2022-09-20,920
second,2022-09-20,1236
forth,2022-09-24,662
third,2022-09-24,812
second,2022-09-20,1518
third,2022-09-23,473
last,2022-09-21,1260
second,2022-09-18,1659
forth,2022-09-27,1832
last,2022-09-23,1693
third,2022-09-24,514
second,2022-09-23,721
last,2022-09-21,1825
second,2022-09-20,1298
third,2022-09-20,1128
third,2022-09-25,1407
first,2022-09-21,1689
third,2022-09-25,1102
forth,2022-09-24,138
last,2022-09-24,302
second,2022-09-19,1798
first,2022-09-19,1763
forth,2022-09-24,1792
first,2022-09-19,195
second,2022-09-26,143
first,2022-09-25,1499
forth,2022-09-21,1446
forth,2022-09-21,1093
third,2022-09-20,1390
second,2022-09-22,1049
forth,2022-09-20,1697
last,2022-09-21,1481
first,2022-09-18,1059
third,2022-09-25,1357
third,2022-09-22,970
second,2022-09-26,1250
second,2022-09-26,1731
last,2022-09-23,1423
second,2022-09-24,1076
third,2022-09-19,640
second,2022-09-26,1477
second,2022-09-27,799
first,2022-09-26,153
forth,2022-09-25,1446
second,2022-09-18,583
first,2022-09-25,1913
first,2022-09-18,1263
last,2022-09-26,545
last,2022-09-23,1235
forth,2022-09-26,414
first,2022-09-19,1011
forth,2022-09-24,1517
forth,2022-09-20,24
forth,2022-09-24,380
first,2022-09-19,862
last,2022-09-19,1822
third,2022-09-20,1958
first,2022-09-19,44
forth,2022-09-22,378
first,2022-09-26,1272
forth,2022-09-19,1063
last,2022-09-21,330
forth,2022-09-24,611
second,2022-09-23,932
last,2022-09-24,1589
forth,2022-09-18,1191
second,2022-09-24,1972
third,2022-09-27,1442
forth,2022-09-27,1838
forth,2022-09-25,1067
forth,2022-09-22,575
second,2022-09-18,1724
last,2022-09-27,178
first,2022-09-21,892
last,2022-09-21,302
first,2022-09-18,388
second,2022-09-24,346
third,2022-09-25,928
third,2022-09-21,1658
first,2022-09-22,1931
forth,2022-09-20,516
first,2022-09-23,248
forth,2022-09-23,1505
forth,2022-09-19,727
third,2022-09-22,324
first,2022-09-25,1619
last,2022-09-21,1556
first,2022-09-20,462
second,2022-09-18,1885
second,2022-09-22,872
last,2022-09-19,28
first,2022-09-27,391
third,2022-09-18,1051
third,2022-09-27,155
third,2022-09-19,294
second,2022-09-25,225
first,2022-09-22,558
second,2022-09-26,1230
second,2022-09-24,45
second,2022-09-23,439
third,2022-09-27,672
last,2022-09-21,1128
third,2022-09-20,383
forth,2022-09-22,372
second,2022-09-22,963
last,2022-09-19,1314
last,2022-09-18,595
second,2022-09-22,1280
second,2022-09-24,155
last,2022-09-22,1437
last,2022-09-24,1201
second,2022-09-20,1478
second,2022-09-20,449
third,2022-09-21,245
third,2022-09-26,1566
forth,2022-09-19,1330
third,2022-09-18,723
first,2022-09-22,102
last,2022-09-26,1665
last,2022-09-25,794
third,2022-09-27,1649
second,2022-09-20,978
second,2022-09-24,196
last,2022-09-20,599
third,2022-09-20,1216
last,2022-09-23,1583
forth,2022-09-26,426
last,2022-09-21,1549
forth,2022-09-25,1084
third,2022-09-18,1486
forth,2022-09-26,1490
second,2022-09-23,59
second,2022-09-24,34
first,2022-09-22,668
last,2022-09-25,1839
first,2022-09-27,1137
first,2022-09-26,847
forth,2022-09-27,249
forth,2022-09-24,743
second,2022-09-27,1503
third,2022-09-21,1213
third,2022-09-27,463
second,2022-09-20,1481
second,2022-09-22,1290
first,2022-09-25,455
third,2022-09-19,686
forth,2022-09-22,1645
first,2022-09-25,422
last,2022-09-19,858
second,2022-09-21,543
second,2022-09-24,1479
second,2022-09-18,1702
second,2022-09-26,813
first,2022-09-18,346
last,2022-09-18,1840
forth,2022-09-19,203
third,2022-09-26,84
forth,2022-09-21,539
forth,2022-09-20,1699
second,2022-09-22,1362
last,2022-09-25,143
first,2022-09-21,742
first,2022-09-23,1609
last,2022-09-18,206
last,2022-09-20,828
last,2022-09-22,1802
first,2022-09-22,814
second,2022-09-23,1351
forth,2022-09-24,861
third,2022-09-27,1328
second,2022-09-20,1333
first,2022-09-22,1219
last,2022-09-24,658
third,2022-09-19,835
third,2022-09-26,1196
first,2022-09-25,1218
forth,2022-09-27,566
first,2022-09-22,711
forth,2022-09-19,962
second,2022-09-24,286
second,2022-09-19,1718
second,2022-09-18,384
forth,2022-09-22,1912
third,2022-09-19,1682
second,2022-09-18,785
forth,2022-09-26,973
third,2022-09-25,2
first,2022-09-26,1400
second,2022-09-23,632
second,2022-09-19,470
forth,2022-09-26,532
